,phenotype,CASSLGGNTEAFF_TRBV12_TRBJ1-1,CASSFGGNTEAFF_TRBV12_TRBJ1-1,CASSLQETQYF_TRBV12_TRBJ2-5,CASSLGETQYF_TRBV12_TRBJ2-5,CASSLGYEQYF_TRBV12_TRBJ2-7,CASSLGGGYTF_TRBV12_TRBJ1-2,CASSQGYEQYF_TRBV3_TRBJ2-7,CASSLGGNQPQHF_TRBV12_TRBJ1-5,CASSLRETQYF_TRBV12_TRBJ2-5,CASSLSGNTIYF_TRBV12_TRBJ1-3,CASSLTGNTEAFF_TRBV12_TRBJ1-1,CASSFSGNTIYF_TRBV12_TRBJ1-3,CASSYSYEQYF_TRBV6_TRBJ2-7,CAWSRDLREPQHF_TRBV30-1_TRBJ1-5,CASSYRENTEAFF_TRBV6_TRBJ1-1,CASSAGTGIWAEAFF_TRBV25-1_TRBJ1-1,CASSYGTSTDTQYF_TRBV6_TRBJ2-3,CASSSDPTSSHEQYF_TRBV7-9_TRBJ2-7,CASSQAYEQYF_TRBV3_TRBJ2-7,CASSLGNQPQHF_TRBV12_TRBJ1-5,CASSLRGDTEAFF_TRBV12_TRBJ1-1,CASSLGGNTIYF_TRBV12_TRBJ1-3,CASSLKETQYF_TRBV12_TRBJ2-5,CASSDGSIRDYTF_TRBV2-1_TRBJ1-2,CASSHEGLENTEAFF_TRBV3_TRBJ1-1,CSVGSGGTNEKLFF_TRBV29-1_TRBJ1-4,CASSYNSGANVLTF_TRBV6_TRBJ2-6,CASSLRGNYGYTF_TRBV12_TRBJ1-2,CASSQGNYGYTF_TRBV3_TRBJ1-2,CASSQETQYF_TRBV3_TRBJ2-5,CASSFLQETQYF_TRBV12_TRBJ2-5,CASSLGGYEQYF_TRBV12_TRBJ2-7,CASSQGSGNTIYF_TRBV3_TRBJ1-3,CASSQVSYEQYF_TRBV3_TRBJ2-7,CASSQVGYEQYF_TRBV3_TRBJ2-7,CASSQGETQYF_TRBV3_TRBJ2-5,CASSPSYEQYF_TRBV6_TRBJ2-7,CASSLNTGELFF_TRBV12_TRBJ2-2,CASSLGNTIYF_TRBV12_TRBJ1-3
NOA-16_ID18_V03_tracking,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44e-05,0.0,2.44e-05,0.0,0.0,0.0,0.0,2.44e-05,0.0,0.0,0.0,2.44e-05,0.0,2.44e-05,2.44e-05,2.44e-05,0.0,4.88e-05,2.44e-05,0.0,0.0,2.44e-05,2.44e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOA-16_ID20_V03_tracking,1,0.0,0.0,0.0,1.58e-05,0.0,5.26e-06,5.26e-06,0.0,0.0,1.58e-05,5.26e-06,5.26e-06,0.0,2.63e-05,1.05e-05,5.26e-06,1.05e-05,1.58e-05,0.0,1.58e-05,0.0,0.0,0.0,5.26e-06,5.26e-06,0.0,1.05e-05,0.0,1.05e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOA-16_ID23_V03_tracking,1,4.9e-06,4.9e-06,1.96e-05,1.96e-05,7.83e-05,4.9e-06,4.9e-06,2.45e-05,0.0,0.0,0.0,4.9e-06,3.92e-05,9.79e-06,0.0,0.0,0.0,9.79e-06,4.9e-06,9.79e-06,0.0,0.0,4.9e-06,0.0,9.79e-06,0.0,0.0,0.0,1.47e-05,9.79e-06,0.0,0.0,0.0,4.9e-06,4.9e-06,4.9e-06,0.0,0.0,0.0
NOA-16_ID24_V03_tracking,1,0.0,0.0,0.0,3.55e-06,3.55e-06,0.0,0.0,0.0,7.09e-06,0.0,3.55e-06,3.55e-06,7.09e-06,0.002151933,4.96e-05,0.0,0.0,0.018318018,0.0,0.0,3.55e-06,3.55e-06,3.55e-06,0.0,0.005356788,0.0,7.09e-06,0.0,0.0,3.55e-06,0.0,0.0,0.0,7.09e-06,0.0,0.0,0.0,0.0,3.55e-06
NOA-16_ID25_V03_tracking,1,0.0,0.0,4.3e-05,0.0,0.0,0.0,0.0,4.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOA-16_ID26_V03_tracking,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07e-05,1.07e-05,1.07e-05,0.0,0.0,0.0,0.0,1.07e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOA-16_ID27_V03_tracking,1,7.93e-06,3.96e-05,3.96e-06,3.96e-06,2.38e-05,0.0,0.0,3.96e-06,1.59e-05,3.96e-06,0.0,3.96e-06,0.0,1.98e-05,3.96e-06,7.93e-06,3.96e-06,1.19e-05,0.0,3.96e-06,3.96e-06,3.96e-06,7.93e-06,3.96e-06,1.59e-05,0.00017,0.0,3.96e-06,3.96e-06,0.0,3.96e-06,7.93e-06,3.96e-06,0.0,0.0,7.93e-06,3.96e-06,3.96e-06,3.96e-06
NOA-16_ID28_V03_tracking,1,1.93e-05,1.93e-05,0.0,0.0,9.65e-06,1.93e-05,0.0,0.0,0.0,9.65e-06,0.0,0.0,2.89e-05,0.0,0.0,9.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.65e-06,0.0,0.0,9.65e-06,0.0,0.0,0.0,0.0,0.0,9.65e-06,0.0,9.65e-06,0.0,0.0,9.65e-06,0.0,9.65e-06
NOA-16_ID30_V03_tracking,1,0.0,1.08e-05,0.0,0.0,0.0,0.0,1.08e-05,0.0,1.08e-05,0.0,1.08e-05,1.08e-05,1.08e-05,0.0,0.0,0.0,2.16e-05,0.0,0.0,2.16e-05,2.16e-05,1.08e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.08e-05,0.0,0.0,1.08e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOA-16_ID31_V03_tracking,1,3.55e-05,0.0,1.18e-05,1.18e-05,0.0,0.0,1.18e-05,1.18e-05,0.0,0.0,0.0,0.0,2.37e-05,0.0,0.001763439,0.0,9.47e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18e-05,0.0,1.18e-05,0.0,0.0,1.18e-05,1.18e-05,0.0,0.0,1.18e-05,1.18e-05,0.0
NOA-16_ID32_V03_tracking,1,1.78e-05,0.0,8.88e-06,1.78e-05,8.88e-06,0.0,8.88e-06,0.0,0.0,0.0,8.88e-06,0.0,0.0,0.0,8.88e-06,0.0,8.88e-06,0.0,8.88e-06,0.0,8.88e-06,0.0,0.0,0.0,0.0,0.0,1.78e-05,8.88e-06,9.77e-05,0.0,0.0,8.88e-06,8.88e-06,0.0,0.0,0.0,0.0,0.0,0.0
NOA-16_ID33_V03_tracking,1,2.04e-05,0.0,1.02e-05,1.02e-05,5.11e-06,5.11e-06,5.11e-05,5.11e-06,5.11e-06,0.0,1.02e-05,5.11e-06,1.02e-05,1.02e-05,9.19e-05,5.11e-05,1.02e-05,1.02e-05,0.0,1.02e-05,2.55e-05,0.0,5.11e-06,6.64e-05,1.53e-05,5.11e-06,1.53e-05,5.11e-06,0.0,0.0,5.11e-06,0.0,1.02e-05,1.02e-05,0.0,5.11e-06,5.11e-06,5.11e-06,0.0
Subject_101,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subject_104,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subject_13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subject_152,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subject_157,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subject_18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subject_27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subject_41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subject_44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subject_49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subject_53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subject_58,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subject_63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subject_66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subject_68,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subject_72,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subject_78,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subject_84,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subject_90,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subject_92,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subject_95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subject_98,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
